Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Penguin Books Ltd,William Shakespeare,"Part of ""The New Penguin Shakespeare"" series, this text looks at ""Macbeth"" with an introduction, a list of further reading, commentary and a short account of the textual problems of the play. The series is used and recommended by the Royal Shakespeare Company.",-,140707050,9780140707052,Macbeth (Penguin Classics),Rs. 950.00,Paperback,208,-
Sri Satguru Publications,K R L Gupta,"This book, 'Madhava Nidana' is a popular and comprehensive Ayurvedic system of Pathology. It has been an indispensable aid to physicians since a long time. This work has been named after the author, the real title of the of the book had been 'Roga-vinishcaya'. This book is an elaborate consideration of causes, symptoms, complications and treatments in 73 sections. The first section has been dealt with the five factors necessary for proper diagnosis of a disease: cause, premonitory symptoms, manifested symptoms, applied therapeutics, to trace the cause from the effect and development of diseases. The rest of the work has been dealt with diseases. The last section has been given a list of diseases which the book has been dealt with.",1892,8170301300,978-8170301301,Madhava Nidana - Ayurvedic System Of Pathology ,"Rs. 2,100.00",-,270,-
New Age Books,Buryl Payne,"This book, 'Magnetic Healing' deals with healing various disorders which occur in our body by using magnetism. It starts by giving a brief history of Magnetic Healing and has been provided valuable information on magnets and the types they include and about Magnetic Fields. There are fully explanative chapters on General Principles of Magnetic Diagnosis and Treatment, how to pick the right magnet for the job and treatments for specific ailments: the author has been presented treatments for more than fifty ailments in this book. He also has included chapters on preventive care strategies, adjunctive therapies, research and case studies, magnetism and spin, how magnetic forces heal, frontier views on magnetism, Electromagnetic Fields from power lines, household appliances and he concludes this very interesting book by providing the enthused reader a certain relevant resources and organizations to get more information on magnets.",2000,8178220024,-,Magnetic Healing ,Rs. 550.00,Hardcover,218,-
Harper Collins,Khushwant Singh,"This selection of Khushwant Singh's prose is like the man himself: blunt, perceptive, incorrigibly provocative, often amusing but always bubbling with life. The book includes candid portrayals of public personalities such as Zail Singh, Rajiv Gandhi, Nani Palkhivala, Rajni Patel and Nargis Dutt. There are also vivid portrayals of public personalities such as Zail Singh, Rajiv Gandhi, Nani Palkhivala, Rajni Patel and Nargis Dutt. There are also vivid portraits of places such as Delhi, Amritsar, Goa, Lucknow, Bhopal and Hyderabad. Then there are his musings on such issues as communalism, terrorism and bride burning, still as vivid today as when the pieces were first written.",2010, 817223662X,9788172236625,Malicious Gossip,"Rs. 1,040.00",Paperback,-,-
Harper,Len Deighton,Deep in Marxist Guerilla territory a hopeless war is being fought.,Sep 2011,7385854,9780007385850,Mamista,"Rs. 1,765.00",Paperback,400,-
Titan Books Ltd,Greg Cox,,2013-06-18,1781165998,9781781165997,Man of Steel: The Official Movie Novelization,"Rs. 1,500.00",Paperback,184,-
Little Brown,Ronni Cooper,"Raine: Born in Brooklyn, the undisputed queen of the City, Raine owns the sexiest, starriest nightclub in New York - and no one is ever going to take her crown. Mei-Lin: The beautiful, enigmatic madam moves in all the right circles - but it wasn't always that way. Now her American dream has become a nightmare and she may have to pay the ultimate price for freedom. Stevie: Once the lead singer of the biggest female rock band in the world, Stevie is now flying solo – but she has a secret that could destroy her. Now all three women are about to discover that payback is the biggest bitch of all…",-,-,9780751542769,Manhattan,"Rs. 1,290.00",-,439,125mm X 200mm
"Running Press,U.S.",Ingrid Emerick and Leslie Miller,,2008-10-11,762433213,978-0762433216,Marble Elvis: The King Lives! (Misc Supplies),"Rs. 2,100.00",-,-,12.9 x 13 x 6.4 cm
Thomson Publications,Hoffman,"For anyone seeking a more consistent format and pedagogy Marketing: Best Practices is a must. This ground-breaking text combines the best in production quality with renowned contributors providing inspirational chapters on their particular specialisms. Who could argue with Terrance Shimp on marketing communications, Jagdish Sheth on consumer behaviour and John Lindgren on marketing and the Internet? Above all, while maintaining the energy and style of its 16 authors, the text genuinely has a single voice through consistent chapter design and writing level. Key features include topical examples, case studies. Internet links and exercises, a wide range of questions plus learning objectives signalled throughout each chapter. ...Publishers seeking innovative and exciting texts would do well to use Marketing: Best Practices as a model."" -Sally Dibb, University of Warwick Times Higher Education Textbook Review --This text refers to an out of print or unavailable edition of this title.",2004,81243898X,9789812438980,Marketing Best Practices,"Rs. 1,040.00",Paperback,650,-
Dorling Kindersley India,Lilien G L,"Several forces are transforming the structure and content of the marketing profession. Marketers are seeing increasingly faster changes in the marketplace and are barraged with an ever increasing amount of information. While many view traditional marketing as art and some view it as science, the new marketing increasingly looks like engineering. This textbook, combined with a comprehensive collection of 26 leading-edge software models provides the student with the know-how and tools to collect the right information and perform analysis to make better marketing plans, better product designs, and better decisions. Our purpose in writing this book is to help educate and train a new generation of marketing managers. We aim to train marketing engineers to translate concepts into context-specific operational decisions and actions using analytical, quantitative, and computer modeling techniques. We link theory to practice and practice to theory.",2004,8129700050,9788129700056,Marketing Engineering 2nd Edition,Rs. 975.00,Paperback,-,-
Harper collin,Ray Bradbury,"The strange and wonderful tale of man's experiences on Mars, filled with intense images and astonishing visions.The classic work that transformed Ray Bradbury into a household name. Written in the age of the atom when America and Europe optimisitcally viewed the discovery of life on Mars as inevitable, Bradbury's 1940s short stories of a brutal, stark and unforgiving martian landscape were as shocking and visionary as they were insightful. 'The Martian Chronicles' tells the story of humanity's repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dwindle to the size of a pin dot. Those few that survived found no welcome. The shape-changing Martians thought they were native lunatics and duly locked them up. More rockets arrived from Earth, piercing the hallucinations projected by the Martians. People brought their old prejudices with them -- and their desires and fantasies, tainted dreams. These were soon inhabited by the strange native beings, with their caged flowers and birds of flame.",1995,6479235,9780006479239,Martian Chronicles (Flamingo Modern Classic),"Rs. 1,800.00",Paperback,240,7.6 x 4.9 x 0.9 inches
Buddhist Cultural Centre,Godwin Samararatne,,2006,9551604024,-,Meditation For Everyday Life,Rs. 150.00,-,95,-
LIFCO PVT LTD,-,,-,-,-,MEGA LIFCO DICTIONARY ,"Rs. 1,300.00",-,1560,-
Allen Lane,"Kanakalatha Mukund, Gurcharan Das","Sangam poetry dating back 2,000 years gives us a vivid description of ports and cities bustling with traders and markets which leaves us wondering at the vigorous trade that evidently flourished between the Tamil region and Rome and the Mediterranean world to the west, and South-East Asia to the east. The early medieval period takes us to a more complex polity dominated by the rise of powerful Tamil empires under the Pallava and Chola dynasties. The strengthening of the state apparatus was accompanied by the emergence of many administrative and representative institutions. In this larger landscape, merchants were key agents of growth and change. Towering over the region, both literally and figuratively, the temple emerged as the central, definitive institution dominating social and economic life in the region known as Tamilakam. The interface between the temple, state, society and merchants is the major theme of this study.",2012,670085219,9780670085217,Merchants Of Tamilakam: Pioneers Of International Trade ,"Rs. 1,485.00",Hardcover,240,-
Harper Collins,Len Deighton,"Long-awaited reissue of the second part of the classic spy trilogy, GAME, SET and MATCH, when the Berlin Wall divided not just a city but a world.",1985,586058214,9780586058213,Mexico Set,"Rs. 1,765.00",Paperback,384,6.73 x 3.78 x 1.1 inches
-,-,,-,-,-,MI6: The History of the Secret Intelligence Service 1909-1949 [H,"Rs. 4,575.00",-,-,-
W W Norton & Company,Gary Yohe Edwin Mansfield,,2010, 813090862X,9788130908625,"Microeconomics, 11th Ed.","Rs. 2,865.00",-,-,-
Tata Mcgraw Hill Education Pvt,Larson,"Design and deliver insightful and interactive Web-based reports Transform your company s valuable data into easily shared information with help from this definitive resource. Written by a member of the development team, this hands-on guide covers everything from installation to administration and shows you how to create visually appealing reports with ease and accuracy. You ll get a firm understanding of the entire report-building process by following a case study throughout the course of the book. Learn first-hand how to extract data using Query Builder and master key tools such as the Report Wizard and Report Manager. Leverage the power of Microsoft s most powerful server-based reporting solution to improve business decision-making and facilitate company-wide--even worldwide--communication. Essential Skills for Database Professionals Follow steps to prepare for a smooth installation process Explore the ins and outs of the SELECT query and ensure data integrity Create cleanly designed interactive reports and deliver them in a timely manner Generate reports with the aid of the Report Wizard and from scratch Work with line, text box, and rectangle controls Add polish to your reports with images, color, and charts Control the properties of a report item using Visual Basic expressions Use the Report Manager to share information in a secure, managed environment",2004,70588678,9780070588677,Microsoft SQL Server 2000 Reporting Services,Rs. 100.00,Paperback,-,-
Phi Learning,"Roy Sitesh Kumar, Mitra Monojit","The main objective of this comprehensive text is to introduce the students the physics and the operational principles as well as the characteristics, and applications of the microwave semiconductor devices. These devices are making a revolutionary change in the field of communication and rada As a result of the accelerating rate of growth of microwave technology in research and industry, students, engineers and scientists need to understand the theoretical and experimental design and analysis of these devices. The book also deals with higher frequency microwaves called millimeter waves, which are finding wide applications in ground and satellite communication, radars and missile guidance. Millimeter wave system development is one of the most advanced technologies in radio science, especially in view of the ever increasing demand of communication and saturation of microwave frequency range with increasing number of channels. The book discusses in greater detail about the semiconductor devices such as IMPATT diodes, Gunn diodes, HEMT diodes and FET diodes. It emphasizes on various two and three terminal devices in the microwave and millimeter wave field based on silicon and Groups III-V compound semiconducto The book is intended to serve as a textbook for undergraduate electronics and electrical engineering students and postgraduate students of physics. It would also be a valuable reference book for professional engineers and physicists.",30 October 2004,8120324188,9788120324183,Microwave Semiconductor Devices ,Rs. 575.00,Paperback,204,-
